# Z A Mass(u)
50 111 110.907740
51 111 110.913218
52 111 110.921000
53 111 110.930269
54 111 110.941607
40 112 111.963703
41 112 111.952470
42 112 111.938310
43 112 111.929945
44 112 111.918809
45 112 111.914403
46 112 111.907329
47 112 111.907048
48 112 111.902762
49 112 111.905537
50 112 111.904823
51 112 111.912399
52 112 111.916727
53 112 111.928004
54 112 111.935558
55 112 111.950308
41 113 112.956510
42 113 112.943350
43 113 112.932569
44 113 112.922843
45 113 112.915439
46 113 112.910261
47 113 112.906572
48 113 112.904408
49 113 112.904061
50 113 112.905175
51 113 112.909374
52 113 112.915891
53 113 112.923650
54 113 112.933221
55 113 112.944429
41 114 113.962010
42 114 113.946530
43 114 113.936910
44 114 113.924613
45 114 113.918718
46 114 113.910368
47 114 113.908823
48 114 113.903365
49 114 113.904917
50 114 113.902782
51 114 113.909290
52 114 113.912089
53 114 113.921850
54 114 113.927980
55 114 113.941296
56 114 113.950660
41 115 114.966340
42 115 114.951960
43 115 114.939980
44 115 114.928819
45 115 114.920311
46 115 114.913658
47 115 114.908767
48 115 114.905437
49 115 114.903878
50 115 114.903344
51 115 114.906598
52 115 114.911902
53 115 114.918048
54 115 114.926293
55 115 114.935910
56 115 114.947370
42 116 115.955448
43 116 115.944760
44 116 115.931219
45 116 115.924058
46 116 115.914296
47 116 115.911386
48 116 115.904763
49 116 115.905259
50 116 115.901742
51 116 115.906793
52 116 115.908460
53 116 115.916808
54 116 115.921581
55 116 115.933373
56 116 115.941280
57 116 115.956304
42 117 116.961170
43 117 116.948060
44 117 116.936103
45 117 116.926035
46 117 116.917954
47 117 116.911773
48 117 116.907225
49 117 116.904515
50 117 116.902953
51 117 116.904841
52 117 116.908646
53 117 116.913648
54 117 116.920358
55 117 116.928616
56 117 116.938140
57 117 116.949985
43 118 117.952990
44 118 117.938530
45 118 117.930340
46 118 117.919066
47 118 117.914595
48 118 117.906921
49 118 117.906356
50 118 117.901606
51 118 117.905532
52 118 117.905853
53 118 117.913074
54 118 117.916178
55 118 117.926559
56 118 117.933060
57 118 117.946730
43 119 118.956660
44 119 118.943570
45 119 118.932556
46 119 118.923340
47 119 118.915570
48 119 118.909846
49 119 118.905850
50 119 118.903311
51 119 118.903945
52 119 118.906407
53 119 118.910074
54 119 118.915410
55 119 118.922377
56 119 118.930659
57 119 118.940990
58 119 118.952710
43 120 119.961870
44 120 119.946310
45 120 119.936860
46 120 119.924551
47 120 119.918784
48 120 119.909868
49 120 119.907966
50 120 119.902201
51 120 119.905079
52 120 119.904059
53 120 119.910087
54 120 119.911784
55 120 119.920677
56 120 119.926045
57 120 119.938070
58 120 119.946540
44 121 120.951640
45 121 120.939420
46 121 120.928950
47 121 120.920125
48 121 120.912963
49 121 120.907851
50 121 120.904242
51 121 120.903811
52 121 120.904943
53 121 120.907405
54 121 120.911453
55 121 120.917227
56 121 120.924052
57 121 120.933150
58 121 120.943350
59 121 120.955320
44 122 121.954470
45 122 121.943990
46 122 121.930631
47 122 121.923664
48 122 121.913459
49 122 121.910280
50 122 121.903443
51 122 121.905169
52 122 121.903043
53 122 121.907588
54 122 121.908367
55 122 121.916108
56 122 121.919904
57 122 121.930710
58 122 121.937870
59 122 121.951750
44 123 122.959890
45 123 122.946850
46 123 122.935140
47 123 122.925337
48 123 122.916892
49 123 122.910433
50 123 122.905725
51 123 122.904213
52 123 122.904269
53 123 122.905588
54 123 122.908481
55 123 122.912996
56 123 122.918781
57 123 122.926300
58 123 122.935280
59 123 122.945960
44 124 123.963050
45 124 123.951510
46 124 123.937140
47 124 123.928931
48 124 123.917657
49 124 123.913182
50 124 123.905276
51 124 123.905934
52 124 123.902817
53 124 123.906209
54 124 123.905891
55 124 123.912257
56 124 123.915093
57 124 123.924574
58 124 123.930310
59 124 123.942940
60 124 123.952200
45 125 124.954690
46 125 124.941790
47 125 124.931046
48 125 124.921257
49 125 124.913604
50 125 124.907786
51 125 124.905253
52 125 124.904429
53 125 124.904629
54 125 124.906394
55 125 124.909727
56 125 124.914471
57 125 124.920815
58 125 124.928440
59 125 124.937700
60 125 124.948900
45 126 125.959460
46 126 125.944160
47 126 125.934750
48 126 125.922429
49 126 125.916507
50 126 125.907658
51 126 125.907252
52 126 125.903310
53 126 125.905623
54 126 125.904298
55 126 125.909446
56 126 125.911250
57 126 125.919512
58 126 125.923971
59 126 125.935240
60 126 125.943110
61 126 125.957920
46 127 126.949070
47 127 126.937110
48 127 126.926472
49 127 126.917446
50 127 126.910389
51 127 126.906924
52 127 126.905225
53 127 126.904471
54 127 126.905182
55 127 126.907417
56 127 126.911091
57 127 126.916375
58 127 126.922727
59 127 126.930710
60 127 126.940380
61 127 126.951920
46 128 127.951830
47 128 127.941060
48 128 127.927812
49 128 127.920401
50 128 127.910507
51 128 127.909145
52 128 127.904461
53 128 127.905808
54 128 127.903531
55 128 127.907748
56 128 127.908341
57 128 127.915592
58 128 127.918911
59 128 127.928791
60 128 127.935250
61 128 127.948700
62 128 127.958420
47 129 128.943950
48 129 128.931820
49 129 128.921805
50 129 128.913464
51 129 128.909146
52 129 128.906596
53 129 128.904983
54 129 128.904780
55 129 128.906065
56 129 128.908680
57 129 128.912694
